model_name,series,year_model,product_status,top_wood,back_sides_wood,shape,neck,pickup_eq,bracing,bridge,fingerboard,nut_saddle,tuner,strings,inlays,top_color,back_sides_color,headstock_facia,bridge_pins,neck_meets_body,num_frets,overall_length_mm,body_width_mm,body_depth_heel_mm,body_depth_base_mm,scale_mm,scale_inches,nut_width_mm,nut_width_inches,binding,purfling,armrest,body_finish,headstock_plate,neck_joint,case_bag,primary_image_url,source_url
AP66e Shadowburst,Artist Guitars Series,2024,current,Solid African Mahogany,African Mahogany,Parlor,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Open Gear,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,12th,18,985,360,92,106,610,24,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AP66e-Shadowburst_Left_3-4.png,https://alvarezguitars.com/guitar/ap66e-shadowburst/
CYM75,Yairi Series,2024,current,Solid AAA Western Red Cedar,Solid East Indian Rosewood,Classical,Mahogany,,Hand Carved Scalloped Fan,Rosewood,Ebony,Bone,Gotoh,D'Addario EJ44,,,,,,12th Fret,19,995,375,97,100,650,25 1/2,51,2 1/16,Brown ABS,,,Natural/Gloss,Rosewood,Spanish Heel,,https://alvarezguitars.com/wp-content/uploads/2023/12/CYM75_Left_3-4-1.png,https://alvarezguitars.com/guitar/cym75/
AG70ce Black,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,Rosewood,Grand Auditorium w/ Cutaway,African Mahogany,LR Baggs StagePro Bronze,FS6,Rosewood,Rosewood,Bone,Chrome Closed Gears,D'Addario XTAPB1253,Acrylic,Black/Gloss,Natural/Gloss,East Indian Rosewood,PPS Synthetic Bone,14th,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2024/05/AG70ce-Black_Left_3-4.png,https://alvarezguitars.com/guitar/ag70ce-black/
ALJ2CE Shadowburst,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Little Jumbo,African Mahogany,SYS250,FS6,"Indian Laurel, Bi-Level Indian Laurel",Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Semi Gloss,Natural/Open Pore,,ABS,14th,20,946,362,90,104,600,23 5/8,44.45,1 3/4,,,,,Techwood,,AGB15,https://alvarezguitars.com/wp-content/uploads/2023/08/ALJ2CE-Shadowburst_Left_3-4-2.png,https://alvarezguitars.com/guitar/alj2ce-shadowburst/
FYM70 Herringbone Sunburst,Yairi Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,Folk/OM,"One piece mahogany, 50/50 Semi gloss finish, Extended neck joint",,Hand Carved FST6,Ebony Direct Coupled,Ebony with 12th AA Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,Abalone & Mother of Pearl,,,,Ebony,14th Fret,20,1017,386,89,111,635,25,44,1 23/32,Ivoroid,,,Sunburst/Gloss,Rosewood,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/FYM70_Herringbone-Sunburst_Left_3-4-1.png,https://alvarezguitars.com/guitar/fym70-herringbone-sunburst/
DYM70,Yairi Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,Dreadnought,"One piece mahogany, 50/50 Semi gloss finish",,Hand Carved FST6,Ebony Direct Coupled,Rosewood with 12th Abalone Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,,,,,Ebony,14th Fret,20,1030,,,,648,"25 1/2""",44,"1 23/32""",Ivoroid,,,Natural/Gloss,Rosewood,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/DYM70_Left_3-4-1.png,https://alvarezguitars.com/guitar/dym70/
CYM75ce,Yairi Series,2024,current,Solid AAA Western Red Cedar,Solid East Indian Rosewood,Classical,Mahogany,LR Baggs VTC Element System,Hand Carved Scalloped Fan,Rosewood,Ebony,Bone,Gotoh,D'Addario EJ44,,,,,,12th Fret,19,995,375,84,97,650,25 19/32,51,2 1/16,Brown ABS,,,Natural/Gloss,Rosewood,Spanish Heel,,https://alvarezguitars.com/wp-content/uploads/2023/12/CYM75ce_Left_3-4-1.png,https://alvarezguitars.com/guitar/cym75ce/
DYM74,Yairi Series,2024,current,Solid AAA Vintage Redwood,Solid East Indian Rosewood,Dreadnought,"One piece mahogany, 50/50 Semi gloss finish, Extended neck joint",,Hand Carved FST6,Ebony Direct Coupled,Ebony / 12th Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,Abalone & Mother of Pearl,,,,Ebony,14th Fret,20,1030,400,100,125,648,25 1/2,44,1 23/32,Ivoroid,,,Natural/Gloss,Rosewood,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/DYM74_Left_3-4-1.png,https://alvarezguitars.com/guitar/dym74/
DeltaDeLiteE,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Little 00,African Mahogany,SYS100,FS6,Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Semi Gloss,Natural/Open Pore,,ABS,14th,20,950,330,90,104,600,23 5/8,44.45,1 3/4,,,,,Techwood,,AGB15,https://alvarezguitars.com/wp-content/uploads/2023/08/DeltaDeLiteE_Front-Left_3-4.png,https://alvarezguitars.com/guitar/deltadelitee/
AJ80ce,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,Maple,Jumbo,Maple,LR Baggs StagePro Bronze,FST2,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Natural/Gloss,Natural/Gloss,East Indian Rosewood,PPS Synthetic Bone,14th,21,1054,420,102,124,648,25 1/2,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AJ80ce_Left_3-4-3.png,https://alvarezguitars.com/guitar/aj80ce/
AJ80ce 12-String,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,Maple,Jumbo,Maple,LR Baggs StagePro Bronze,FST2,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Chrome Closed Gears,D'Addario XTAPB1047-12,MOP & Arylic,Natural/Gloss,Natural/Gloss,East Indian Rosewood,PPS Synthetic Bone,14th,21,1093,420,102,124,648,25 1/2,48,1 8/9,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AJ80ce-12-String_Left_3-4-2.png,https://alvarezguitars.com/guitar/aj80ce-12-string/
DYMR70 Sunburst,Yairi Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,Dreadnought,"One piece mahogany, 50/50 Semi gloss finish, Extended neck joint",,Hand Carved FST6,Ebony Direct Coupled,Ebony / 12th Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,Abalone & Mother of Pearl,,,,Ebony,12th Fret,20,1030,400,100,125,648,25 1/2,44,1 23/32,Ivoroid,,,Sunburst/Gloss,Rosewood,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/DYMR70_Sunburst-_Left_3-4-1.png,https://alvarezguitars.com/guitar/dymr70-sunburst/
Delta00 Sunburst,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Double 0,African Mahogany,,FS6,Indian Laurel,Indian Laurel,Bone,Chrome Open Gear,D'Addario XTAPB1253,MOP & Arylic,Sunburst/Gloss,Natural/Gloss,Indian Laurel,ABS,14th,21,1020,374,82,102,630,24 13/16,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/Delta00-Sunburst_Front_3-4.png,https://alvarezguitars.com/guitar/delta00-sunburst/
DYM70 Sunburst,Yairi Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,Dreadnought,"One piece mahogany, 50/50 Semi gloss finish, Extended neck joint",,Hand Carved FST6,Ebony Direct Coupled,Ebony / 12th Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,Abalone & Mother of Pearl,,,,Ebony,14th Fret,20,1030,400,100,125,648,25 1/2,44,1 23/32,Ivoroid,,,Sunburst/Gloss,Rosewood,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2024/01/DYM70_Sunburst_Left_3-4-1.png,https://alvarezguitars.com/guitar/dym70-sunburst/
DYM72,Yairi Series,2024,current,Premium Adirondack Spruce,Solid East Indian Rosewood,Dreadnought,"One piece mahogany, 50/50 Semi gloss finish, Extended neck joint",,Hand Carved FST6,Ebony Direct Coupled,Ebony / 12th Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,Abalone & Mother of Pearl,,,,Ebony,14th Fret,20,1030,400,100,125,648,25 1/2,44,1 23/32,Ivoroid,,,Natural/Gloss,Rosewood,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/DYM72_Left_3-4-1.png,https://alvarezguitars.com/guitar/dym72/
FYM66HD,Yairi Series,,current,Solid Vintage Honduran Mahogany,Solid Vintage Honduran Mahogany,Folk/OM,"One piece mahogany, 50/50 Semi gloss finish",,Hand Carved FST6,Ebony Direct Coupled,Ebony / 12th Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,,Ebony/12th Fret Inlay,,,,Ebony,14th Fret,20,1017,386,89,111,635,25,44,1 23/32,Ivoroid,,,Natural/Gloss,Ebony,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/FYM66HD_Left_3-4-1.png,https://alvarezguitars.com/guitar/fym66hd/
AP70e,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,Rosewood,Parlor,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Chrome Open Gear,D'Addario XTAPB1253,MOP & Arylic,Natural/Gloss,Natural/Gloss,East Indian Rosewood,PPS Synthetic Bone,12th,18,985,360,92,106,610,24,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AP70e_Left_3-4.png,https://alvarezguitars.com/guitar/ap70e/
FYM70ce,Yairi Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,Folk/OM,"One piece mahogany, 50/50 Semi gloss finish, Extended neck joint",LR Baggs HiFi,Hand Carved FST6,Ebony Direct Coupled,Ebony with 12th AA Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,Abalone & Mother of Pearl,,,,Ebony,14th Fret,20,1017,386,89,111,635,25,44,1 23/32,Ivoroid,,,Natural/Gloss,Rosewood,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/FYM70ce_Left_3-4-1.png,https://alvarezguitars.com/guitar/fym70ce/
DY1 Sunburst,Yairi Series,2024,current,Solid AA Western Red Cedar,East Indian Rosewood,Dreadnought,"One piece mahogany, 50/50 Semi gloss finish, Extended neck joint",LR Baggs StagePro Bronze,FST2,Rosewood Direct Coupled,Rosewood with 12th Abalone Fret Inlay,Bone,Gotoh,D'Addario EXP16,Abalone & Mother of Pearl,,,,Ebony,14th Fret,20,1010,386,100,117,635,25 1/2,44,1 23/32,Ivoroid,1.5mm Paua Abalone,,Sunburst/Gloss,Rosewood,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/DY1_Sunburst_Left_3-4-1.png,https://alvarezguitars.com/guitar/dy1-sunburst/
FYM70,Yairi Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,Folk/OM,"One piece mahogany, 50/50 Semi gloss finish, Extended neck joint",,Hand Carved FST6,Ebony Direct Coupled,Ebony with 12th AA Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,Abalone & Mother of Pearl,,,,Ebony,14th Fret,20,,386,89,111,635,25,44,1 23/32,Ivoroid,,,Natural/Gloss,Rosewood,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/FYM70_Left_3-4-1.png,https://alvarezguitars.com/guitar/fym70/
AP66 Shadowburst,Artist Guitars Series,2024,current,Solid African Mahogany,African Mahogany,Parlor,African Mahogany,,FS6,Bi-Level Indian Laurel,Indian Laurel,Bone,Chrome Open Gear,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Gloss,Natural/Semi Gloss,Indian Laurel,PPS Synthetic Bone,12th,18,985,360,92,106,610,24,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AP66-Shadowburst_Front-Left_3-4.png,https://alvarezguitars.com/guitar/ap66-shadowburst/
DeltaDeLite,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Little 00,African Mahogany,,FS6,Indian Laurel,Indian Laurel,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Shadowburst/Semi Gloss,Natural/Open Pore,,ABS,14th,20,950,330,90,104,600,23 5/8,44.45,1 3/4,,,,,Techwood,,AGB15,https://alvarezguitars.com/wp-content/uploads/2023/08/DeltaDeLite_Front-Left_3-4.png,https://alvarezguitars.com/guitar/deltadelite/
Delta00E Sunburst,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,African Mahogany,Double 0,African Mahogany,LR Baggs VTC,FS6,Indian Laurel,Indian Laurel,Bone,Chrome Open Gear,D'Addario XTAPB1253,MOP & Arylic,Sunburst/Gloss,Natural/Gloss,Indian Laurel,ABS,14th,,1020,374,82,102,630,24 13/16,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/Delta00E-Sunburst_Front-Left_3-4.png,https://alvarezguitars.com/guitar/delta00e-sunburst/
DYMRJP,Yairi Series,,current,Premium Adirondack Spruce,Honduran Mahogany,12 Fret Slope Dreadnought w/ Cutaway,Mahogany,,Hand Carved FST6,Ebony Direct Coupled,Ebony / 12th Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,,,,,Ebony,12th Fret,20,1030,400,100,125,648,25 1/2,44,1 23/32,Ivoroid,,,Sunburst/Gloss,Ebony,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2025/07/DYMR-JP_Left_3-4.png,https://alvarezguitars.com/guitar/dymrjp/
AG70ce,Artist Guitars Series,2024,current,Solid A+ Sitka Spruce,Rosewood,Grand Auditorium,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Natural/Gloss,Natural/Gloss,East Indian Rosewood,PPS Synthetic Bone,14th,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AG70ce_Left_3-4.png,https://alvarezguitars.com/guitar/ag70ce/
FYM72,Yairi Series,2024,current,Premium Adirondack Spruce,Solid East Indian Rosewood,Folk/OM,"One piece mahogany, 50/50 Semi gloss finish, Extended neck joint",,Hand Carved FST6,Ebony Direct Coupled,Ebony with 12th AA Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,Abalone & Mother of Pearl,,,,Ebony,14th Fret,20,1017,386,89,111,635,25,44,1 23/32,Ivoroid,,,Natural/Gloss,Rosewood,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/FYM72_Left_3-4-1.png,https://alvarezguitars.com/guitar/fym72/
DYM60HD,Yairi Series,2024,current,Premium Adirondack Spruce,Solid Vintage Honduran Mahogany,Dreadnought,"One piece mahogany, 50/50 Semi gloss finish",,Hand Carved FST6,Ebony Direct Coupled,Ebony / 12th Fret Inlay,Real Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,Ebony/12th Fret Inlay,,,,Ebony,14th Fret,,1030,400,100,125,648,25 1/2,44,1 23/32,Ivoroid,,,Natural/Gloss,Ebony,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/DYM60HD_Left_3-4-1.png,https://alvarezguitars.com/guitar/dym60hd/
FYM60HD,Yairi Series,2024,current,Premium Adirondack Spruce,Solid Vintage Honduran Mahogany,Folk/OM,"One piece mahogany, 50/50 Semi gloss finish",,Hand Carved FST6,Ebony Direct Coupled,Ebony / 12th Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,Ebony/12th Fret Inlay,,,,Ebony,14th Fret,20,1017,386,89,111,635,25,44,1 23/32,Ivoroid,,,Natural/Gloss,Ebony,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/FYM60HD_Left_3-4-1.png,https://alvarezguitars.com/guitar/fym60hd/
AG75ce,Artist Guitars Series,2024,current,Solid A+ Western Red Cedar,Rosewood,Grand Auditorium,African Mahogany,LR Baggs StagePro Bronze,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Chrome Closed Gears,D'Addario XTAPB1253,MOP & Arylic,Natural/Gloss,Natural/Gloss,East Indian Rosewood,PPS Synthetic Bone,14th,21,1035,404,96,120,648,25 1/2,44.45,1 3/4,,,,,,,,https://alvarezguitars.com/wp-content/uploads/2023/08/AG75ce_Left_3-4.png,https://alvarezguitars.com/guitar/ag75ce/
FYM74ce,Yairi Series,2024,current,Solid AAA Vintage Redwood,Solid East Indian Rosewood,Folk/OM,"One piece mahogany, 50/50 Semi gloss finish, Extended neck joint",LR Baggs HiFi,Hand Carved FST6,Ebony Direct Coupled,Ebony with 12th AA Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,Abalone & Mother of Pearl,,,,Ebony,14th Fret,20,1017,386,89,111,635,25,44,1 23/32,Ivoroid,,,Natural/Gloss,Rosewood,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/FYM74ce_Left_3-4-1.png,https://alvarezguitars.com/guitar/fym74ce/
GYM70ce Shadowburst,Yairi Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,Grand Auditorium,"One piece mahogany, 50/50 Semi gloss finish, Extended neck joint",LR Baggs HiFi,Hand Carved FST6,Ebony Direct Coupled,Ebony with 12th AA Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,Abalone & Mother of Pearl,,,,Ebony,14th Fret,20,1028,402,97,118,648,25 1/2,44,1 23/32,Ivoroid,,,Shadowburst/Gloss,Rosewood,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/GYM70ce_Shadowburst_Left_3-4-1.png,https://alvarezguitars.com/guitar/gym70ce-shadowburst/
GYM72ce,Yairi Series,2024,current,Premium Adirondack Spruce,Solid East Indian Rosewood,Grand Auditorium,"One piece mahogany, 50/50 Semi gloss finish, Extended neck joint",LR Baggs HiFi,Hand Carved FST6,Ebony Direct Coupled,Ebony with 12th AA Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,Abalone & Mother of Pearl,,,,Ebony,14th Fret,20,1028,402,97,118,648,25 1/2,44,1 23/32,Ivoroid,,,Natural/Gloss,Rosewood,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2024/01/CYM72ce_Left_3-4-1.png,https://alvarezguitars.com/guitar/gym72ce/
GYM74ce,Yairi Series,2024,current,Solid AAA Vintage Redwood,Solid East Indian Rosewood,Grand Auditorium,"One piece mahogany, 50/50 Semi gloss finish, Extended neck joint",LR Baggs HiFi,Hand Carved FST6,Ebony Direct Coupled,Ebony with 12th AA Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,Abalone & Mother of Pearl,,,,Ebony,14th Fret,20,1028,402,97,118,648,25 1/2,44,1 23/32,Ivoroid,,,Natural/Gloss,Rosewood,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2024/01/GYM74ce_Left_3-4-1.png,https://alvarezguitars.com/guitar/gym74ce/
GYM60HD,Yairi Series,2024,current,Premium Adirondack Spruce,Solid Vintage Honduran Mahogany,Grand Auditorium,"One piece mahogany, 50/50 Semi gloss finish",,Hand Carved FST6,Ebony Direct Coupled,Ebony / 12th Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,Ebony/12th Fret Inlay,,,,Ebony,14th Fret,20,1030,400,100,125,648,25 1/2,44,1 23/32,Ivoroid,,,Natural/Gloss,Ebony,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/GYM60HD_Left_3-4-1.png,https://alvarezguitars.com/guitar/gym60hd/
GYM80ce Shadowburst,Yairi Series,2024,current,Solid AAA Sitka Spruce,Solid Flamed Maple,Grand Auditorium,"One piece mahogany, 50/50 Semi gloss finish, Extended neck joint",LR Baggs HiFi,Hand Carved FST6,Ebony Direct Coupled,Ebony with 12th AA Fret Inlay,Bone,Gotoh 510's Gold with Ebony Buttons,D'Addario EXP16,Abalone & Mother of Pearl,,,,Ebony,14th Fret,20,1028,402,97,118,648,25 1/2,44,1 23/32,Ivoroid,,,Shadowburst/Shadowburst,Rosewood,"Dovetail, Extended Neck Joint",,https://alvarezguitars.com/wp-content/uploads/2023/12/GYM80ce_Shadowburst_Left_3-4-1.png,https://alvarezguitars.com/guitar/gym80ce-shadowburst/
LDR70e Herringbone Sunset,Laureate Series,,current,AAA Solid North American Sitka,Solid East Indian Rosewood,,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Sunset/Gloss,Natural/Gloss,Ebony,Ebony,12th Fret,20,1010,395,102,112,648,25 1/2,44.45,1 3/4,Ivoroid,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/12/LDR70eHerringbone-Sunset_Left_3-4.png,https://alvarezguitars.com/guitar/ldr70e-herringbone-sunset/
LD70e,Laureate Series,2024,current,AAA Solid North American Sitka,Solid East Indian Rosewood,Dreadnought,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Natural/Gloss,Natural/Gloss,Ebony,Ebony,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/01/LD70e_Left_3-4.png,https://alvarezguitars.com/guitar/ld70e/
LD70e Daybreak,Laureate Series,2024,current,AAA Solid North American Sitka,Solid East Indian Rosewood,Dreadnought,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Daybreak/Gloss,Natural/Gloss,,Ebony,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/01/LD70e-Daybreak_Right_3-4.png,https://alvarezguitars.com/guitar/ld70e_daybreak/
LD60e,Laureate Series,,current,AAA Solid North American Sitka,Solid African Mahogany,Dreadnought,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,,Natural/Gloss,Ebony,Ebony,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,Ivoroid,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2025/01/LD60e_Left_3-4.png,https://alvarezguitars.com/guitar/ld60e/
LF60e,Laureate Series,,current,AAA Solid North American Sitka,Solid African Mahogany,OM,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,,Natural/Gloss,Ebony,Ebony,14th Fret,21,1015,390,96,108,635,25,44.45,1 3/4,Ivoroid,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/12/LF60e_Left_3-4.png,https://alvarezguitars.com/guitar/lf60e/
LD70Le,Laureate Series,2024,current,AAA Solid North American Sitka,Solid East Indian Rosewood,Dreadnought,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Natural/Gloss,Natural/Gloss,Ebony,Ebony,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/10/LD70Le_Left_3-4-1.png,https://alvarezguitars.com/guitar/ld70le/
LD70e Herringbone Sunset,Laureate Series,,current,AAA Solid North American Sitka,Solid East Indian Rosewood,Dreadnought,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Sunset/Gloss,Natural/Gloss,Ebony,Ebony,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,Ivoroid,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/12/LD70eHerringbone-Sunset_Left_3-4.png,https://alvarezguitars.com/guitar/ld70e-herringbone-sunset/
LD60e Sunset,Laureate Series,,current,"AAA Solid North American Sitka, Solid African Mahogany",Solid African Mahogany,Dreadnought,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Sunset/Gloss,Natural/Gloss,Ebony,Ebony,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,Ivoroid,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/12/LD60e-Sunset_Left_3-4.png,https://alvarezguitars.com/guitar/ld60e-sunset/
MD70e Herringbone,Masterworks Series,2024,current,Solid AAA Sitka Spruce,Solid East Indian Rosewood,Dreadnought,African Mahogany,LR Baggs HiFi,FS6,Bi-Level Indian Rosewood,East Indian Rosewood,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium MOP,Natural/Gloss,Natural/Gloss,East Indian Rosewood,Ebony,14th Fret,21,1042,395,100,122,648,25 1/2,44.45,1 3/4,,,,,,,AFC30,https://alvarezguitars.com/wp-content/uploads/2023/08/MD70_Left_3-4-4.png,https://alvarezguitars.com/guitar/md70e-herringbone/
LP60e,Laureate Series,,current,AAA Solid North American Sitka,Solid African Mahogany,Parlor,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,,Natural/Gloss,Ebony,Ebony,12th Fret,19,985,360,92,106,610,24,44.45,1 3/4,Ivoroid,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/12/LP60e_Left_3-4.png,https://alvarezguitars.com/guitar/lp60e/
LF70e,Laureate Series,2024,current,AAA Solid North American Sitka,Solid East Indian Rosewood,OM,African Mahogany,LR Baggs HiFi,FS6,Ebony,Ebony,Bone,Premium Open Gear,D’Addario XSAPB1253,Premium Abalone,Natural/Gloss,Natural/Gloss,,Ebony,14th Fret,21,1015,390,96,108,635,25,44.45,1 3/4,,,,,Ebony,,AFC30,https://alvarezguitars.com/wp-content/uploads/2024/01/LF70e_Left_3-4.png,https://alvarezguitars.com/guitar/lf70e/
